soortgroep;meetnet;protocol;n_locaties;duur_meetcyclus;jaar_in_meetcyclus;steekproeflocatie;jaar;jaardoel;cyclusdoel;eenheid;aantal_tellingen_cp;aantal_taken_nu;aantal_locatie_geteld;aantal_voldoende_geteld;oppervlakte_geteld;aantal_voldoende_geteld_nieuw;aantal_voldoende_geteld_cyclus
vaatplanten;alle planten;Vaatplanten;219;3;2;1;2020;75;223;Nieuwe locaties;78;;;66;;59;146
libellen;Hoogveenglanslibel;Libellen - Populatietelling per locatie;12;1;1;1;2020;7;;Locaties;9;0;;6;;;
andere zoogdieren;Hamster;burchtentelling;1;1;1;1;2021;50;;Hectare;5;0;;1;44,6;;
amfibie?n;Heikikker;Heikikker - Telling legsels;60;3;1;1;2021;12;60;Locaties;;0;;23;;23;23
overige;Vermiljoenkever;Vermiljoenkever - Schors;;6;1;1;2021;10;;Locaties;23;0;;23;;;
reptielen;Gladde slang;Gladde slang -Platen;;3;1;1;2021;10;;Locaties;;;;10;;;
overige;Vliegend hert;Vliegend Hert - Transecten;;1;1;1;2021;8;;Locaties;58;0;;7;;;
libellen;Beekrombout;Beekrombout - pilootbezoeken;;1;1;1;2021;2;;Bezoeken;1;1;;1;;;
andere zoogdieren;Otter;Otter;;6;2;1;2021;13;;Locaties;9;0;;7;;;
vaatplanten;alle planten;Vaatplanten;211;3;3;1;2021;71;211;Nieuwe locaties;95;0;;74;;57;204
overige;Schavertje;Sprinkhanen - Wegvangst;;1;1;1;2022;3;;Locaties;0;0;;0;;;
overige;Vliegend hert;Vliegend hert - Transect;;1;1;1;2022;12;;Locaties;63;0;;9;;;
andere zoogdieren;Hamster;burchtentelling;1;1;1;1;2022;34,9;;Hectare;5;0;;1;34,9;;
amfibieën;Vroedmeesterpad;Vroedmeesterpad - Roepkoren;20;1;1;1;2022;15;;Locaties;;;;15;;;
amfibieën;Vroedmeesterpad;Vroedmeesterpad - Larven;20;1;1;1;2022;15;;Locaties;;;;15;;;
amfibieën;Rugstreeppad;Rugstreeppad - Transect;47;3;1;1;2022;9;;Nieuwe locaties;;;;9;;9;9
vaatplanten;alle planten;Vaatplanten;205;3;1;1;2022;69;205;Nieuwe locaties;73;0;;73;;73;73
libellen;Beekrombout;Beekrombout - inhaalslag;;1;1;1;2022;3;;Locaties;3;0;;3;;;
overige;Gerande oeverspin;Gerande oeverspin - Inhaalslag;117;12;6;1;2022;10;;Locaties;9;1;;10;;;
andere zoogdieren;Hamster;burchtentelling;1;1;1;1;2023;45,5;;Hectare;6;0;;1;45,5;;
overige;Gerande oeverspin;Gerande oeverspin - Inhaalslag;111;6;2;1;2023;10;;Nieuwe locaties;11;0;;10;;10;
overige;Vermiljoenkever;Vermiljoenkever - Larven;5;6;1;1;2023;5;;Nieuwe locaties;3;2;;5;;5;
amfibieën;Vroedmeesterpad;Vroedmeesterpad - Larven;20;1;1;1;2023;15;;Locaties;15;0;;15;;15;
vaatplanten;alle planten;Vaatplanten;246;3;1;1;2023;70;246;Nieuwe locaties;99;0;;91;;75;164
overige;Vliegend hert;Vliegend hert - Transect;19;1;1;1;2023;10;;Locaties;37;0;;5;;5;
andere zoogdieren;Hamster;burchtentelling;1;1;1;1;2024;70;;Hectare;5;0;1;1;70;;
overige;Vliegend hert;Vliegend hert - Transect;18;1;1;1;2024;10;;Locaties;32;0;9;2;;2;
vaatplanten;alle planten;Vaatplanten;231;3;3;1;2024;62;231;Nieuwe locaties;82;0;77;77;;49;218
overige;Schavertje;Sprinkhanen - Wegvangst;4;1;1;1;2024;4;;Locaties;0;0;0;0;;;
